gene,variance
ENSG00000160180,15.995585966326194
ENSG00000163220,14.284147349276607
__ambiguous[ENSG00000273259+ENSG00000196136],12.534451422998194
ENSG00000141736,12.43378148228661
ENSG00000185499,12.000820189075988
ENSG00000135480,11.168624256867666
ENSG00000143546,11.019159666760341
ENSG00000141424,10.989159322989815
ENSG00000141741,10.96223433930358
ENSG00000108344,10.777878077431104
ENSG00000187608,10.754093790118445
ENSG00000110092,10.664572437846996
ENSG00000111341,10.625167758561613
ENSG00000165949,10.60228292091553
ENSG00000120885,10.54392474691159
ENSG00000189334,10.51946068831016
ENSG00000266402,10.517722239634868
ENSG00000203812,10.502225034188989
ENSG00000140545,10.484538297928522
ENSG00000164919,10.46326421045438
ENSG00000115457,10.421624646859126
ENSG00000272196,10.419479949763032
ENSG00000107485,10.416969531424757
ENSG00000103260,10.403298466510018
ENSG00000277972,10.392499170228193
ENSG00000089356,10.386493333418052
ENSG00000133110,10.38002735046818
ENSG00000196405,10.379177036553694
ENSG00000115461,10.378983739470566
ENSG00000126709,10.359604101283088
ENSG00000175899,10.342677359483602
ENSG00000084207,10.333312107182255
ENSG00000125730,10.299172868674937
ENSG00000224389,10.27889817055645
ENSG00000137331,10.276126528786014
ENSG00000168350,10.26285462517274
ENSG00000277791,10.240412475739184
ENSG00000128322,10.239777958239896
ENSG00000131748,10.207338363446148
ENSG00000272398,10.129487170135706
ENSG00000143320,10.09127534082971
__ambiguous[ENSG00000257341+ENSG00000213145],10.057766297410874
ENSG00000116133,10.057041193842071
ENSG00000141753,10.042230309554252
ENSG00000168542,10.031495842256165
ENSG00000124664,10.019616823849057
ENSG00000130208,10.015743031060124
ENSG00000135821,9.969678905818967
ENSG00000142694,9.952101679273186
ENSG00000170476,9.944853317010724
