gene,variance
ENSG00000160180,15.995585966326194
ENSG00000163220,14.284147349276607
__ambiguous[ENSG00000273259+ENSG00000196136],12.534451422998194
ENSG00000141736,12.43378148228661
ENSG00000185499,12.000820189075988
ENSG00000135480,11.168624256867666
ENSG00000143546,11.019159666760341
ENSG00000141424,10.989159322989815
ENSG00000141741,10.96223433930358
ENSG00000108344,10.777878077431104
ENSG00000187608,10.754093790118445
ENSG00000110092,10.664572437846996
ENSG00000111341,10.625167758561613
ENSG00000165949,10.60228292091553
ENSG00000120885,10.54392474691159
ENSG00000189334,10.51946068831016
ENSG00000266402,10.517722239634868
ENSG00000203812,10.502225034188989
ENSG00000140545,10.484538297928522
ENSG00000164919,10.46326421045438
